1,Холодильники
2,Плиты и духовки
3,Стиральные машины
4,Посудомоечные машины
5,Микроволновые печи
6,Электрочайники и кофеварки
7,Утюги и парогенераторы
8,Пылесосы
9,Климатическая техника
10,Водонагреватели
11,Мелкая кухонная техника
12,Мультиварки и скороварки
13,Кофемашины
14,Тостеры и сэндвичницы
15,Мясорубки и миксеры для мяса
16,Фильтры и пылесборники
17,Аксессуары для пылесосов
18,Кондиционеры и вентиляторы
19,Обогреватели и радиаторы
20,Очистители воздуха и увлажнители
21,Системы умного дома
22,Встраиваемая бытовая техника
23,Аксессуары для кухонной техники
24,Уход за одеждой и обувью
25,Уход за волосами
26,Уход за телом и зубами
27,Массажеры и тренажеры
28,Электронные весы и измерители
29,Электробритвы и триммеры
