1,15,1,Холодильник работает отлично но инструкция не очень понятная,4.5,2023-07-12
2,42,2,Духовка нагревается очень быстро удобно пользоваться,5.0,2023-09-28
3,77,3,Стиральная машина Bosch поломалась через месяц использования,2.5,2023-11-05
4,56,4,Посудомоечная машина Siemens отлично моет посуду но долго сушит,4.0,2023-04-19
5,29,5,Микроволновая печь LG выглядит стильно но слабо нагревает,3.0,2023-10-07
6,88,6,Электрочайник Philips надежный и удобный в использовании,4.5,2023-08-15
7,10,7,Утюг Rowenta не гладит хорошо много замятых мест,2.0,2023-06-25
8,64,8,Пылесос Samsung имеет мощный всасывающий мотор но тяжеловат,4.0,2023-03-11
9,51,9,Кондиционер Panasonic хорошо охлаждает воздух но громко работает,3.5,2023-05-30
10,22,10,Водонагреватель Ariston быстро нагревает воду но греется корпус,3.0,2023-02-17
11,73,11,Блендер Moulinex качественный но долго измельчает продукты,4.0,2023-11-03
12,85,12,Мультиварка Redmond удобная в использовании много функций,4.5,2023-09-20
13,8,13,Кофемашина DeLonghi выглядит стильно но долго греется,3.5,2023-07-08
14,95,14,Тостер Braun равномерно поджаривает хлеб но громко работает,3.0,2023-04-26
15,34,15,Мясорубка Bosch надежная но сложно моется,4.0,2023-10-14
16,69,16,Фильтр для пылесоса Philips эффективно задерживает пыль,4.5,2023-08-02
17,45,17,Аксессуары для пылесоса Karcher качественные но дорогие,4.0,2023-05-21
18,19,18,Кондиционер настенный Mitsubishi Electric тихий и мощный,5.0,2023-01-09
19,79,19,Обогреватель керамический Timberk быстро нагревает помещение,4.5,2023-11-27
20,36,20,Очиститель воздуха Dyson эффективно очищает воздух,5.0,2023-06-05
21,67,21,Система умного дома Google Nest удобная в управлении,4.0,2023-03-24
22,21,22,Встраиваемая микроволновая печь Whirlpool надежная но маленькая,3.5,2023-10-11
23,54,23,Насадка для блендера Bosch качественная но дорогая,4.0,2023-08-19
24,81,24,Утюг паровой Tefal удобный в использовании но быстро пачкается,3.5,2023-05-06
25,40,25,Фен для волос Remington мощный но тяжелый,4.0,2023-01-25
26,12,26,Электрическая зубная щетка Oral-B хорошо чистит зубы,4.5,2023-09-12
27,61,27,Массажер для шеи и спины Beurer расслабляет но громковат,4.0,2023-06-30
28,97,28,Электронные весы Xiaomi точные но неудобно хранить,3.5,2023-04-17
29,27,29,Триммер для бороды Philips качественный но батарея быстро разряжается,3.0,2023-11-01
30,70,30,Кофемолка Krup эффективно измельчает кофе но шумная,3.5,2023-08-08
31,27,31,Морозильная камера Beko отлично сохраняет продукты удобная модель,4.5,2023-07-15
32,64,32,Газовая плита Gorenje прекрасно работает но немного громкая,4.0,2023-09-22
33,12,33,Сушильная машина LG сушит белье быстро и равномерно рекомендую,5.0,2023-11-03
34,42,34,Посудомоечный аппарат Bosch компактный и эффективный удобно использовать,4.5,2023-04-12
35,88,35,Микроволновка Samsung отлично греет и жарит удобная в эксплуатации,4.0,2023-10-28
36,15,36,Чайник Braun надежный но кнопка открытия крышки немного тугая,3.5,2023-08-07
37,79,37,Парогенератор Tefal работает отлично пар выходит обильно,4.5,2023-06-19
38,36,38,Пылесос-робот iRobot освободил много времени отличный помощник по уборке,5.0,2023-03-01
39,51,39,Переносной кондиционер Haier прекрасно охлаждает помещение удобно передвигать,4.0,2023-05-09
40,10,40,Бойлер Atlantic быстро нагревает воду удобный в эксплуатации,4.0,2023-02-14
41,61,41,Соковыжималка Bosch мощная но сложно моется,3.0,2023-11-30
42,21,42,Блендер-погружной Vitek компактный и функциональный удобный в использовании,4.5,2023-09-25
43,85,43,Мультиварка Moulinex многофункциональная но инструкция не очень понятная,4.0,2023-07-18
44,73,44,Кофемолка-блендер Scarlett удобная но материал корпуса выглядит дешево,3.5,2023-04-05
45,29,45,Автоматическая кофемашина Saeco приготавливает вкусный кофе но громкая,4.0,2023-10-10
46,97,46,Тостер-гриль Braun удобный но слишком большой для моей кухни,3.0,2023-08-16
47,45,47,Мясорубка Moulinex надежная но требует частой очистки,3.5,2023-12-22
48,8,48,Фильтр для пылесоса Karcher эффективно задерживает мелкий мусор но дорогой,4.0,2023-02-05
49,69,49,Насадка для пылесоса Electrolux удобная но не всегда эффективно очищает ковры,3.5,2023-05-14
50,22,50,Мобильный кондиционер Ballu мощный но шумный,3.0,2023-11-08
51,54,51,Масляный радиатор Zanussi быстро нагревает помещение но неудобно хранить,4.0,2023-08-03
52,40,52,Очиститель воздуха Philips эффективно очищает воздух но громкий,3.5,2023-03-17
53,12,53,Умная система управления освещением TP-Link удобна в использовании но дорогая,4.0,2023-06-29
54,95,54,Варочная панель индукционная Bosch надежная но долго нагревается,3.5,2023-09-24
55,64,55,Насадка для кухонного комбайна Kenwood функциональная но дорогая,4.0,2023-12-02
56,27,56,Паровая станция Philips отлично гладит но требует частой очистки,4.5,2023-08-13
57,79,57,Фен с ионизацией Rowenta сушит волосы быстро но тяжелый,3.5,2023-04-26
58,36,87,Электрическая зубная щетка Colgate удобная в использовании но не очень эффективная,3.0,2023-10-01
59,51,58,Электрическая зубная щетка Panasonic эффективно чистит зубы удобная в использовании,4.5,2023-07-09
60,22,59,Массажер для ног Beurer расслабляет и улучшает кровообращение но громковат,4.0,2023-05-16
61,45,60,Отличные весы точные и удобные в использовании,5.0,2023-06-15
62,62,61,Триммер Philips оказался не таким удобным как ожидалось насадки не фиксируются должным образом,3.5,2023-04-20
63,77,62,Кофемолка Hario прекрасно молет кофе но не очень удобна в использовании из-за ручного привода,4.0,2023-03-10
64,82,63,Холодильник Снеж работает безупречно морозильная камера объемная но есть небольшие недочеты с шумом,4.0,2023-02-05
65,93,64,Духовка MasterCook справляется со всеми задачами но дверца не закрывается плотно,4.0,2023-07-12
66,11,65,Стиральная машина Zanussi эффективно стирает но иногда возникают проблемы с сливом воды,4.0,2023-08-20
67,28,66,Посудомоечная машина LG имеет много функций но иногда оставляет следы воды на посуде,3.5,2023-09-30
68,34,67,Микроволновка Panasonic нагревает равномерно но пульт управления не всегда реагирует,4.0,2023-11-04
69,45,68,Электрический чайник Kenwood прост в использовании и быстро кипятит воду,4.5,2023-10-25
70,49,69,Утюг Bosch справляется с разглаживанием даже самых сложных тканей но довольно тяжелый,4.0,2023-12-28
71,55,70,Пылесос Philips отлично собирает пыль и мусор но короткий шнур,4.0,2023-11-15
72,66,71,Кондиционер Daikin работает бесшумно и эффективно управление через Wi-Fi очень удобно,5.0,2023-10-09
