1,"Холодильник ""Атлант""",ATL-123,"Холодильник ""Атлант"" с объемом камеры 300 литров и энергопотреблением класса A+",25000.00,Холодильники,1
2,"Духовка с электрической плитой ""Electrolux""",ELE-456,"Духовка с электрической плитой от ""Electrolux"" с функцией конвекции",35000.00,Плиты и духовки,2
3,"Стиральная машина ""Bosch""",BOS-789,"Стиральная машина ""Bosch"" с загрузкой 7 кг и функцией защиты от протечек",30000.00,Стиральные машины,3
4,"Посудомоечная машина ""Siemens""",SIE-101,"Посудомоечная машина ""Siemens"" с функцией сушки и возможностью установки встраиваемой панели",40000.00,Посудомоечные машины,4
5,"Микроволновая печь ""LG""",LGM-202,"Микроволновая печь ""LG"" с объемом камеры 20 литров и функцией быстрого размораживания",8000.00,Микроволновые печи,5
6,"Электрочайник ""Philips""",PHI-303,"Электрочайник ""Philips"" с объемом 1.7 литра и функцией автоматического отключения",3000.00,Электрочайники и кофеварки,6
7,"Утюг ""Rowenta""",ROW-404,"Утюг ""Rowenta"" с паровым ударом и системой защиты от накипи",2000.00,Утюги и парогенераторы,7
8,"Пылесос ""Samsung""",SAM-505,"Пылесос ""Samsung"" с мощностью 2000 Вт и фильтром HEPA",7000.00,Пылесосы,8
9,"Кондиционер ""Panasonic""",PAN-606,"Кондиционер ""Panasonic"" с мощностью 9000 BTU и функцией автоматического режима",40000.00,Климатическая техника,9
10,"Водонагреватель ""Ariston""",ARI-707,"Водонагреватель ""Ariston"" с объемом бака 50 литров и технологией быстрого нагрева воды",12000.00,Водонагреватели,10
11,"Блендер ""Moulinex""",MOU-808,"Блендер ""Moulinex"" с мощностью 1000 Вт и 6 скоростными режимами",5000.00,Мелкая кухонная техника,11
12,"Мультиварка ""Redmond""",RED-909,"Мультиварка ""Redmond"" с объемом чаши 5 литров и 16 программами приготовления",6000.00,Мультиварки и скороварки,12
13,"Кофемашина ""DeLonghi""",DEL-010,"Кофемашина ""DeLonghi"" с автоматической системой капучинатора и программой автоматического отключения",25000.00,Кофемашины,13
14,"Тостер ""Braun""",BRA-020,"Тостер ""Braun"" с функцией размораживания и регулировкой степени прожарки",3000.00,Тостеры и сэндвичницы,14
